"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1365015708099178499","https://twitter.com/hoprnet/status/1365015708099178499","You have your HOPR Tokens now, it's time to put them to work!

How can you do that? 🤔 Running a HOPR node of course!

➡️ https://t.co/hxJfIwnvg0 https://t.co/FPXlBLxl2Z","2021-02-25 19:08 +0000","28852.0","2603.0","0.09021904893941494","29.0","14.0","86.0","209.0","613.0","0.0","945.0","0.0","0","0","0","0","0","6739","707","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1364970157953609731","https://twitter.com/hoprnet/status/1364970157953609731","Are you knowledgeable about the Blockchain space and have an outgoing personality?

Apply now to join our team as a Communication Specialist!

➡️ https://t.co/6baAbPruSP https://t.co/4v44wLPaq6","2021-02-25 16:07 +0000","13537.0","412.0","0.03043510378961365","6.0","1.0","33.0","70.0","80.0","0.0","195.0","0.0","0","0","0","0","0","27","27","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1364903971882635264","https://twitter.com/hoprnet/status/1364903971882635264","We will be presenting HOPR to the Ethereum Singapore community at 13:00 CET

Even if you are not a member, you are welcome to join us!

➡️ https://t.co/j9suCuMIZi https://t.co/V3yKIAsqDj","2021-02-25 11:44 +0000","20126.0","676.0","0.03358839312332307","9.0","1.0","53.0","80.0","87.0","0.0","343.0","0.0","0","0","1","0","0","102","102","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1364873772738760705","https://twitter.com/hoprnet/status/1364873772738760705","HOPR token holders can earn further HOPR tokens by staking them in a HOPR node, contributing to a globally decentralized, incentivized mixnet designed to provide network-level data and metadata privacy. 

...Don't forget

➡️ Via @YahooNews https://t.co/wRFFAzjU9q","2021-02-25 09:44 +0000","29679.0","1142.0","0.03847838539034334","36.0","8.0","85.0","193.0","250.0","0.0","570.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1364678970285969408","https://twitter.com/hoprnet/status/1364678970285969408","🚀 The HOPR community launched the $HOPR token on @BalancerLabs

📙 More details about the $HOPR - $DAI liquidity bootstrapping pool in our blog and on
➡️ https://t.co/eRGMYvTBNR ⬅️

🐒 Ape responsibly! LBPs are decreasing price auctions!

https://t.co/JIyAhLxqrp","2021-02-24 20:49 +0000","39032.0","1951.0","0.04998462799754048","20.0","10.0","61.0","269.0","717.0","0.0","873.0","0.0","0","0","1","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1364629413057470479","https://twitter.com/hoprnet/status/1364629413057470479","HOPR Hosts Global Token Launch Event on February 24th after First-of-Its-Kind DAO Experiment -  https://t.co/o0syqxRung via @MktsInsider","2021-02-24 17:33 +0000","14657.0","501.0","0.03418161970389575","9.0","2.0","34.0","56.0","154.0","0.0","246.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1364620856425541634","https://twitter.com/hoprnet/status/1364620856425541634","The final destination on our trip is the city of San Francisco, founded in 1776 by Spanish colonists as Misión San Francisco de Asis and later developed thanks to the Gold Rush of 1849

➡️ The tenth and final video is available now on https://t.co/uy9NtyYwxD https://t.co/tHbd2H80xZ","2021-02-24 16:59 +0000","18599.0","1486.0","0.07989676864347546","15.0","107.0","59.0","177.0","194.0","0.0","813.0","0.0","0","0","0","0","0","121","121","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1364607770226483206","https://twitter.com/hoprnet/status/1364607770226483206","Thank you for protecting our community by verifying the $HOPR token

🐸 @coingecko https://t.co/s62RbhwH8T

🦄 @etherscan https://t.co/y4Sp2lXNBS

⚖️ @BalancerLabs https://t.co/1EANXmuptP","2021-02-24 16:07 +0000","14270.0","1345.0","0.09425367904695164","14.0","5.0","48.0","131.0","756.0","0.0","391.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1364599968720293896","https://twitter.com/hoprnet/status/1364599968720293896","""The engagement of the HOPR community has been unprecedented in the world of decentralized governance during pre-launch projects, with the community - and not the team - truly being in the driver's seat."" @SCBuergel

Read this and more on @MarketWatch

➡️ https://t.co/QxpF0E9pXH","2021-02-24 15:36 +0000","15472.0","471.0","0.03044208893485005","12.0","7.0","32.0","75.0","96.0","0.0","249.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1364590657428361220","https://twitter.com/hoprnet/status/1364590657428361220","The Brazilian city of Sao Paolo breaks too many records to mention, including the most populated city in Brazil, the Americas, the Western Hemisphere AND the Southern Hemisphere!

➡️ The ninth video is available now on https://t.co/uy9NtyYwxD https://t.co/iERl0dETzH","2021-02-24 14:59 +0000","18557.0","1261.0","0.06795279409387293","16.0","115.0","63.0","154.0","135.0","0.0","693.0","0.0","0","0","0","0","0","85","85","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1364584114519564292","https://twitter.com/hoprnet/status/1364584114519564292","@YahooFinance featured our Phase Two and Jungfrau Release today!

➡️  https://t.co/Yiwv66Cqyx","2021-02-24 14:33 +0000","500.0","33.0","0.066","2.0","0.0","3.0","6.0","14.0","0.0","8.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1364575557959127041","https://twitter.com/hoprnet/status/1364575557959127041","Madrid is Spain's capital city and the second largest city in the EU. It is also considered the leading economic hub of Southern Europe

➡️ The eighth video is now available on https://t.co/uy9NtyYwxD https://t.co/sBSVwM2xX7","2021-02-24 13:59 +0000","17373.0","1139.0","0.06556150348241524","13.0","125.0","57.0","129.0","124.0","0.0","628.0","0.0","0","0","0","0","0","63","63","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1364564233212592129","https://twitter.com/hoprnet/status/1364564233212592129","We are halfway across the planet in Switzerland, roof of Europe and home of the Jungfrau

Besides the majestic sights, here is another bit of great news: Phase 2 of the HOPR Launch is starting

➡️ You can now participate in Phase 2 here https://t.co/hxJfIw5Uos https://t.co/WMHtAdyKeJ","2021-02-24 13:14 +0000","16220.0","1185.0","0.07305795314426634","17.0","24.0","40.0","119.0","431.0","0.0","504.0","0.0","0","0","0","0","0","50","50","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1364560458234146817","https://twitter.com/hoprnet/status/1364560458234146817","We have arrived in Turicum, which was the Roman name for Zürich, the settlement they founded in 15 BC

Today Zürich is an important transportation and technology hub, as well as the home of the HOPR Association!

➡️ The seventh video is available now on https://t.co/uy9NtyGVG5 https://t.co/Z0BgkHZw6Y","2021-02-24 12:59 +0000","17009.0","1114.0","0.06549473807984009","17.0","130.0","61.0","115.0","127.0","0.0","620.0","0.0","0","0","0","0","0","44","44","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1364553915384164358","https://twitter.com/hoprnet/status/1364553915384164358","We made the @YahooNews Check out our feature here

➡️ https://t.co/wRFFAzjU9q","2021-02-24 12:33 +0000","14848.0","332.0","0.02235991379310345","8.0","2.0","33.0","67.0","106.0","0.0","116.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1364545358806745097","https://twitter.com/hoprnet/status/1364545358806745097","We are now in Istanbul, this historical city was founded in 660 BC but got its current name as recently as 1930!

➡️ The sixth video is available now on https://t.co/uy9NtyYwxD https://t.co/QCZLQtKIr0","2021-02-24 11:59 +0000","33669.0","2575.0","0.07647984793133149","21.0","140.0","105.0","216.0","225.0","0.0","1200.0","0.0","0","0","0","0","0","668","668","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1364538815977693184","https://twitter.com/hoprnet/status/1364538815977693184","""HOPR’s privacy protocol is the first to provide incentivized decentralized metadata privacy, ensuring people and devices can transfer data securely without leaking identifying metadata.""

Read more on the @newsbtc coverage of our Phase Two launch here https://t.co/G3Flb2sYoo","2021-02-24 11:33 +0000","13431.0","341.0","0.025389025389025387","12.0","0.0","39.0","61.0","67.0","0.0","162.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1364530259379556352","https://twitter.com/hoprnet/status/1364530259379556352","Moscow is the Capital City of the Russian Federation, it is also home to the Gagarin Community.

➡️ The fifth video is also available now on https://t.co/uy9NtyGVG5 https://t.co/bMalzbkYHg","2021-02-24 10:59 +0000","17506.0","1272.0","0.07266080201073917","19.0","132.0","66.0","130.0","156.0","0.0","645.0","0.0","0","0","0","0","0","124","124","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1364527239543599105","https://twitter.com/hoprnet/status/1364527239543599105","""The DAO voted for a community presale, followed by a public distribution on the decentralized finance platforms https://t.co/N6rHZmpPWS and https://t.co/gAgzeX5Rjj""

Check out the @beincrypto coverage of our Phase Two launch here https://t.co/QGbIWRjo8G https://t.co/WwLc4aregy","2021-02-24 10:47 +0000","14298.0","634.0","0.04434186599524409","7.0","1.0","29.0","63.0","170.0","0.0","244.0","0.0","0","0","0","0","0","120","120","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1364522962745925633","https://twitter.com/hoprnet/status/1364522962745925633","The only $HOPR token address is
0xF5581dFeFD8Fb0e4aeC526bE659CFaB1f8c781dA

🆘   Please don't get scammed! 

The $HOPR - $DAI @BalancerLabs LBP pool is
0xb249E00c0d861aaAD716f46a47a340C22cd941Fd

https://t.co/y4Sp2mfotq","2021-02-24 10:30 +0000","20914.0","1460.0","0.06980969685378216","13.0","5.0","38.0","254.0","341.0","0.0","809.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1364515159838920705","https://twitter.com/hoprnet/status/1364515159838920705","Hanoi is the second most productive city in Vietnam and is a major financial and industrial hub in the Red River Delta and Vietnam

➡️ The fourth video is available now on https://t.co/uy9NtyYwxD https://t.co/MgE9afkg9l","2021-02-24 09:59 +0000","20706.0","1766.0","0.08528928812904472","24.0","159.0","78.0","188.0","176.0","0.0","1029.0","0.0","0","0","0","0","0","112","112","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1364511636862734337","https://twitter.com/hoprnet/status/1364511636862734337","We welcome you to an AMA with the Gagarin Community from Moscow!

The event starts at 11:00AM CET

➡️ https://t.co/qHcLlaOMN2 https://t.co/IpgyXiJ4hD","2021-02-24 09:45 +0000","12000.0","290.0","0.024166666666666666","4.0","1.0","21.0","36.0","46.0","0.0","137.0","0.0","0","0","0","0","0","45","45","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1364500060495437828","https://twitter.com/hoprnet/status/1364500060495437828","Welcome to Shanghai, third stop on our trip. This important city is home to a third of the world's billionares

➡️ The third video is available now on https://t.co/uy9NtyYwxD https://t.co/zFlwsV0UCK","2021-02-24 08:59 +0000","20792.0","1744.0","0.08387841477491342","24.0","180.0","86.0","210.0","185.0","0.0","938.0","0.0","0","0","0","0","0","121","121","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
